# contract_addr, #patch, gas_incr, inst_incr, size_incr, orig_size
0x036a3ad95504510336974ac046c2a3a2b0990a17 4 205 448 448 5398
0x036b344407532f3727a0879f2d2e4ff24b30313a 4 205 448 448 5108
0x03703f89aa609ae0a82a8ebe2254b8f873ee4671 1 53 36 36 6380
0x0370ddeb2f136649027f54b4bf6e007af2568b0a 1 53 36 36 6560
0x03726d3d6f550ac1ba0cd3bc554879c99f9e901e 3 138 556 556 8964
0x03772adef77671499d6f2cd67e8f95cf38c45651 3 147 258 258 4656
0x03834852f2889ddf286104bc771371c764be1fc6 3 163 264 264 5756
0x0389b1f7789dffc995dd11f08e78e38e44aa8279 2 106 308 308 4610
0x038cf0fe8b400538211b0cdc2dbf4e9a8a36bda4 1 57 88 88 2128
0x0397e6134d83f9ef8027aec990033c9276ca2e37 1 53 36 36 10288
0x039b5649a59967e3e936d7471f9c3700100ee1ab 1 55 114 114 2924
0x039d5e52b9dd8e2e0b7982c1a0d7e4efbf9310de 13 845 713 713 10736
0x039ea53a65589b9da58726d481d9e50104df2c0e 1 64 26 26 346
0x03a2d646d36ffc371e04e840604c5ba46393dd26 6 361 319 319 8962
0x03a52ec45a607e168488e3d861bd517b538e8620 2 106 696 696 8008
0x03ad838d4d962fa6b187dc10e8513e595a32f889 0 0 0 0 11620
0x03b2aed2c905a3d9895a67868c95679c9a8c5f5c 4 240 113 113 132
0x03b5f3746dc831a7eb9512103b69c0e075d341c4 2 106 283 283 3562
0x03b7a5f1c8258f7a0b3bcc4a21d37cbce5970d87 4 234 369 369 6296
0x03bb79a5c53f80918ffcedaf026f9fa01b4eae77 9 564 487 487 7254
0x03bd59742fa56ea505ff4110e1f9bb199f78657e 3 163 294 294 4906
0x03c18d649e743ee0b09f28a81d33575f03af9826 10 601 775 775 19710
0x03c19fa72388134c532ac1fd2d480fc673195421 2 128 200 200 1294
0x03cab6d9359b0749fcefebb6cfe026d3db4cb385 5 312 518 518 7310
0x03cb07880f4a5d64b2a64f2fab65a8e281287563 10 693 385 385 16792
0x03cbf313472ae39d1a61b408eafa01a1545d499e 9 398 571 571 5500
0x03dcbedc7f08f9fe276948d7b06a180834e80ece 1 53 281 281 6240
0x03ddfff2a2af96f2a73762c9160ef5d2b1da13a6 2 110 525 525 7880
0x03e8e45fe2034be8d2429f190316cb0014829e56 8 594 526 526 6122
0x03ebfe0ec11dd11041e39cc7a0a51f40238f6050 1 53 101 101 1762
0x03fd8da36346a44220d9ed9ebd0f846dadb781da 2 110 257 257 4990
0x0404744ddd793960bc4ee03692066bb4e0560b81 12 642 541 541 6456
0x040b9322a202139e00cfb8a140088c66e12fd4e1 6 469 704 704 4616
0x040d11c850fb167cddb1e4d308fe9062fddaebd1 8 556 331 331 16270
0x040f432740b68776f34f81a1f95c73050cf0b174 3 203 228 228 4306
0x0411662787291e6173b44ed89b107919ac73d59a 4 226 207 207 22454
0x041ab0765c118a80041a0c46344e274fd2e36925 2 106 696 696 8008
0x041b3eb05560ba2670def3cc5eec2aeef8e5d14b 2 108 153 153 15316
0x042484e2e063c90a9b21be7ab3cfb37417b6ebf0 1 96 112 112 658
0x042835e6b091fe13ac52908d67a7345ed2dabed1 3 171 374 374 4252
0x0429047892b8a903c0b4fbbd26e85d288f7af958 4 214 361 361 5130
0x042c2d72f48bc09b7b7078d4ba6f6a8ddcaef838 2 106 699 699 5364
0x042d12f91a95443fcfdd91a592525776abb086f7 8 504 795 795 8766
0x042eb1ef3eb48af6daa47a0f8eede69d5d798e9b 1 53 173 173 808
0x04302773ccbc2c6d8d3156f2fd32c51f78725af2 7 395 831 831 26004
0x0436d3110dee47f177bb5d9b7ea5ce5d712522e8 4 228 210 210 3974
0x0445ae32d33066a29e4573bf15d4a2a9690ab754 4 205 448 448 5108
0x044957a43f6d5ffa513a6f244386d163f2539638 4 229 151 151 14588
0x044dd17bbbcbf1cf65f543918561bf8cf8130e7b 5 286 861 861 11230
0x044eedcfa79e85a339a1edf0bf05170e666fd33b 6 387 203 203 18734
0x0454b3c50ad27cacf2d89466d06b492738533e05 4 205 448 448 5108
0x0459e7e69142414e6d809de09231e5ac04f2e44a 6 448 550 550 10002
0x045cfa118f35fd69626cdfbc761c96300d1f2cd0 4 183 451 451 4520
0x0465028899f4a56b13eef1725f95998a1b73a4f3 3 196 150 150 9534
0x046a6ff757c8edaa91dd886df8b60c217d99f11b 3 161 233 233 10020
